sample_id,noise_category,scenario,system_config,delta_snr_db,si_sdr_db,stoi,pesq,nlms_better_than_ai_only
SPK_002__helicopter_rotor_dhruv__+0dB,PERIODIC_ROTOR,IMPULSIVE_SPIKE,HYBRID_PROTECTED,4.64,7.21,0.789,1.04,True
SPK_002__helicopter_rotor_dhruv__+0dB,PERIODIC_ROTOR,IMPULSIVE_SPIKE,NLMS_ONLY,0.12,0.12,0.741,1.04,True
SPK_002__propeller_rotor_an32__+5dB,PERIODIC_ROTOR,MATCHED_REFERENCE,AI_ONLY,-0.76,4.49,0.837,1.08,True
SPK_002__propeller_rotor_an32__+5dB,PERIODIC_ROTOR,MATCHED_REFERENCE,HYBRID_PROTECTED,-0.01,12.61,0.862,1.12,True
SPK_002__propeller_rotor_an32__+5dB,PERIODIC_ROTOR,MATCHED_REFERENCE,NLMS_ONLY,8.84,13.84,0.862,1.14,True
SPK_002__propeller_rotor_an32__+5dB,PERIODIC_ROTOR,SPEECH_LEAKAGE,AI_ONLY,-0.76,4.49,0.837,1.08,True
SPK_002__propeller_rotor_an32__+5dB,PERIODIC_ROTOR,SPEECH_LEAKAGE,HYBRID_PROTECTED,-1.57,8.38,0.859,1.08,True
SPK_002__propeller_rotor_an32__+5dB,PERIODIC_ROTOR,SPEECH_LEAKAGE,NLMS_ONLY,3.52,8.94,0.859,1.09,True
SPK_002__propeller_rotor_an32__+5dB,PERIODIC_ROTOR,IMPULSIVE_SPIKE,AI_ONLY,-3.22,0.16,0.757,1.07,True
SPK_002__propeller_rotor_an32__+5dB,PERIODIC_ROTOR,IMPULSIVE_SPIKE,HYBRID_PROTECTED,-0.15,9.69,0.831,1.11,True
SPK_002__propeller_rotor_an32__+5dB,PERIODIC_ROTOR,IMPULSIVE_SPIKE,NLMS_ONLY,-4.55,0.45,0.782,1.08,True
SPK_002__vehicle_acceleration_track__+15dB,NON_STATIONARY,MATCHED_REFERENCE,AI_ONLY,-9.98,13.68,0.893,1.16,True
SPK_002__vehicle_acceleration_track__+15dB,NON_STATIONARY,MATCHED_REFERENCE,HYBRID_PROTECTED,-9.9,17.44,0.921,1.23,True
SPK_002__vehicle_acceleration_track__+15dB,NON_STATIONARY,MATCHED_REFERENCE,NLMS_ONLY,4.86,19.87,0.922,1.26,True
SPK_002__vehicle_acceleration_track__+15dB,NON_STATIONARY,SPEECH_LEAKAGE,AI_ONLY,-9.98,13.68,0.893,1.16,True
SPK_002__vehicle_acceleration_track__+15dB,NON_STATIONARY,SPEECH_LEAKAGE,HYBRID_PROTECTED,-11.97,8.82,0.92,1.15,True
SPK_002__vehicle_acceleration_track__+15dB,NON_STATIONARY,SPEECH_LEAKAGE,NLMS_ONLY,-7.41,9.21,0.92,1.17,True
SPK_002__vehicle_acceleration_track__+15dB,NON_STATIONARY,IMPULSIVE_SPIKE,AI_ONLY,-13.17,1.66,0.804,1.11,True
SPK_002__vehicle_acceleration_track__+15dB,NON_STATIONARY,IMPULSIVE_SPIKE,HYBRID_PROTECTED,-10.08,11.01,0.864,1.19,True
SPK_002__vehicle_acceleration_track__+15dB,NON_STATIONARY,IMPULSIVE_SPIKE,NLMS_ONLY,-14.3,0.7,0.82,1.11,True
SPK_002__tactical_siren_sweep__+5dB,NON_STATIONARY,MATCHED_REFERENCE,AI_ONLY,-0.76,4.49,0.837,1.08,True
SPK_002__tactical_siren_sweep__+5dB,NON_STATIONARY,MATCHED_REFERENCE,HYBRID_PROTECTED,-0.01,12.61,0.862,1.12,True
SPK_002__tactical_siren_sweep__+5dB,NON_STATIONARY,MATCHED_REFERENCE,NLMS_ONLY,8.84,13.84,0.862,1.14,True
SPK_002__tactical_siren_sweep__+5dB,NON_STATIONARY,SPEECH_LEAKAGE,AI_ONLY,-0.76,4.49,0.837,1.08,True
SPK_002__tactical_siren_sweep__+5dB,NON_STATIONARY,SPEECH_LEAKAGE,HYBRID_PROTECTED,-1.57,8.38,0.859,1.08,True
SPK_002__tactical_siren_sweep__+5dB,NON_STATIONARY,SPEECH_LEAKAGE,NLMS_ONLY,3.52,8.94,0.859,1.09,True
SPK_002__tactical_siren_sweep__+5dB,NON_STATIONARY,IMPULSIVE_SPIKE,AI_ONLY,-3.22,0.16,0.757,1.07,True
SPK_002__tactical_siren_sweep__+5dB,NON_STATIONARY,IMPULSIVE_SPIKE,HYBRID_PROTECTED,-0.15,9.69,0.831,1.11,True
SPK_002__tactical_siren_sweep__+5dB,NON_STATIONARY,IMPULSIVE_SPIKE,NLMS_ONLY,-4.55,0.45,0.782,1.08,True
SPK_002__tank_engine_heldout_rec__-5dB,STATIONARY,MATCHED_REFERENCE,AI_ONLY,5.7,-4.4,0.722,1.02,True
SPK_002__tank_engine_heldout_rec__-5dB,STATIONARY,MATCHED_REFERENCE,HYBRID_PROTECTED,8.12,0.72,0.734,1.02,True
SPK_002__tank_engine_heldout_rec__-5dB,STATIONARY,MATCHED_REFERENCE,NLMS_ONLY,6.96,1.34,0.735,1.02,True
SPK_002__tank_engine_heldout_rec__-5dB,STATIONARY,SPEECH_LEAKAGE,AI_ONLY,5.7,-4.4,0.722,1.02,True
SPK_002__tank_engine_heldout_rec__-5dB,STATIONARY,SPEECH_LEAKAGE,HYBRID_PROTECTED,7.15,-1.5,0.728,1.02,True
SPK_002__tank_engine_heldout_rec__-5dB,STATIONARY,SPEECH_LEAKAGE,NLMS_ONLY,6.53,-1.14,0.727,1.02,True
SPK_002__tank_engine_heldout_rec__-5dB,STATIONARY,IMPULSIVE_SPIKE,AI_ONLY,6.16,-5.14,0.674,1.02,True
SPK_002__tank_engine_heldout_rec__-5dB,STATIONARY,IMPULSIVE_SPIKE,HYBRID_PROTECTED,8.01,0.38,0.709,1.02,True
SPK_002__tank_engine_heldout_rec__-5dB,STATIONARY,IMPULSIVE_SPIKE,NLMS_ONLY,4.62,-1.06,0.672,1.02,True
SPK_002__helicopter_rotor_heldout_rec__+0dB,PERIODIC_ROTOR,MATCHED_REFERENCE,AI_ONLY,2.91,-0.13,0.793,1.03,True
SPK_002__helicopter_rotor_heldout_rec__+0dB,PERIODIC_ROTOR,MATCHED_REFERENCE,HYBRID_PROTECTED,4.28,7.65,0.816,1.04,True
SPK_002__helicopter_rotor_heldout_rec__+0dB,PERIODIC_ROTOR,MATCHED_REFERENCE,NLMS_ONLY,8.91,8.39,0.817,1.04,True
SPK_002__helicopter_rotor_heldout_rec__+0dB,PERIODIC_ROTOR,SPEECH_LEAKAGE,AI_ONLY,2.91,-0.13,0.793,1.03,True
SPK_002__helicopter_rotor_heldout_rec__+0dB,PERIODIC_ROTOR,SPEECH_LEAKAGE,HYBRID_PROTECTED,2.94,4.32,0.807,1.03,True
SPK_002__helicopter_rotor_heldout_rec__+0dB,PERIODIC_ROTOR,SPEECH_LEAKAGE,NLMS_ONLY,5.82,4.67,0.807,1.03,True
SPK_002__helicopter_rotor_heldout_rec__+0dB,PERIODIC_ROTOR,IMPULSIVE_SPIKE,AI_ONLY,1.63,-2.04,0.722,1.03,True
SPK_002__helicopter_rotor_heldout_rec__+0dB,PERIODIC_ROTOR,IMPULSIVE_SPIKE,HYBRID_PROTECTED,4.2,6.69,0.788,1.04,True
